"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","79.20","75.60","79.50","75.55","623.37K","5.60%"
"May 29, 2018","83.60","79.95","86.80","79.55","5.15M","5.56%"
"May 30, 2018","82.95","82.00","86.00","80.35","2.09M","-0.78%"
"May 31, 2018","83.35","83.50","84.35","82.65","798.10K","0.48%"
"Jun 01, 2018","80.35","83.90","84.00","80.05","590.73K","-3.60%"
"Jun 04, 2018","75.20","80.25","80.90","74.90","939.02K","-6.41%"
"Jun 05, 2018","73.20","75.20","75.45","72.65","1.14M","-2.66%"
"Jun 06, 2018","74.45","73.90","75.00","72.95","716.64K","1.71%"
"Jun 07, 2018","76.35","74.50","76.60","74.50","596.07K","2.55%"
"Jun 08, 2018","77.35","76.05","77.75","75.30","459.39K","1.31%"
"Jun 11, 2018","77.50","77.60","79.00","77.20","412.38K","0.19%"
"Jun 12, 2018","78.30","78.35","78.55","76.55","518.50K","1.03%"
"Jun 13, 2018","78.20","78.60","79.50","78.00","490.57K","-0.13%"
"Jun 14, 2018","76.10","78.70","78.70","75.75","440.46K","-2.69%"
"Jun 15, 2018","75.20","76.10","76.70","74.60","467.89K","-1.18%"
"Jun 18, 2018","75.95","75.30","76.50","73.90","510.07K","1.00%"
"Jun 19, 2018","74.40","76.10","76.40","74.10","438.67K","-2.04%"
"Jun 20, 2018","74.90","74.50","75.50","74.20","404.81K","0.67%"
"Jun 21, 2018","75.25","76.00","76.50","74.95","637.19K","0.47%"
"Jun 22, 2018","75.00","75.00","75.40","74.30","301.58K","-0.33%"
"Jun 25, 2018","73.35","74.70","75.35","73.05","348.08K","-2.20%"
"Jun 26, 2018","73.30","73.00","73.85","72.70","383.73K","-0.07%"
"Jun 27, 2018","71.05","73.30","73.70","70.55","506.10K","-3.07%"
"Jun 28, 2018","69.90","71.85","71.95","69.45","551.56K","-1.62%"
"Jun 29, 2018","71.75","71.20","72.40","70.70","809.69K","2.65%"
"Jul 02, 2018","71.35","71.75","72.50","70.30","384.12K","-0.56%"
"Jul 03, 2018","70.05","71.05","71.05","69.60","440.11K","-1.82%"
"Jul 04, 2018","69.25","70.00","70.40","68.70","544.27K","-1.14%"
"Jul 05, 2018","67.90","69.30","69.30","67.75","563.15K","-1.95%"
"Jul 06, 2018","70.25","67.60","71.20","67.60","805.86K","3.46%"
"Jul 09, 2018","70.10","70.75","71.25","69.70","349.58K","-0.21%"
"Jul 10, 2018","71.40","70.95","71.90","70.30","516.23K","1.85%"
"Jul 11, 2018","70.80","71.10","72.45","70.30","408.72K","-0.84%"
"Jul 12, 2018","69.30","71.00","71.75","68.80","558.84K","-2.12%"
"Jul 13, 2018","67.15","69.95","69.95","66.95","677.92K","-3.10%"
"Jul 16, 2018","64.80","67.20","67.35","64.60","863.86K","-3.50%"
"Jul 17, 2018","68.05","65.50","68.30","64.50","750.09K","5.02%"
"Jul 18, 2018","66.50","68.05","68.55","65.30","466.72K","-2.28%"
"Jul 19, 2018","66.35","66.55","67.75","65.50","414.69K","-0.23%"
"Jul 20, 2018","67.55","66.50","68.15","66.00","356.08K","1.81%"
"Jul 23, 2018","69.40","67.95","69.85","67.10","419.24K","2.74%"
"Jul 24, 2018","73.30","69.95","73.60","69.40","1.24M","5.62%"
"Jul 25, 2018","71.60","73.90","78.30","70.90","4.53M","-2.32%"
