"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","18,125.15","17,703.40","18,276.70","17,703.40","0.56K","1.90%"
"May 29, 2018","18,545.70","18,144.65","18,605.00","18,100.00","0.51K","2.32%"
"May 30, 2018","18,476.70","18,550.00","18,666.00","18,400.00","0.40K","-0.37%"
"May 31, 2018","18,276.75","18,650.00","18,650.00","18,140.00","0.29K","-1.08%"
"Jun 01, 2018","18,233.30","18,275.00","18,499.00","18,028.40","0.24K","-0.24%"
"Jun 04, 2018","18,129.65","18,322.00","18,402.60","18,030.20","0.46K","-0.57%"
"Jun 05, 2018","17,905.65","18,144.70","18,151.45","17,812.00","0.42K","-1.24%"
"Jun 06, 2018","18,939.70","17,911.60","19,059.35","17,816.00","1.25K","5.77%"
"Jun 07, 2018","18,597.15","18,784.20","19,141.90","18,450.30","0.46K","-1.81%"
"Jun 08, 2018","18,420.80","18,491.70","18,602.55","18,325.00","0.24K","-0.95%"
"Jun 11, 2018","18,248.30","18,507.65","18,507.65","18,201.05","0.34K","-0.94%"
"Jun 12, 2018","18,024.75","18,193.80","18,242.65","17,990.00","0.27K","-1.23%"
"Jun 13, 2018","17,999.75","18,080.00","18,089.05","17,928.00","0.17K","-0.14%"
"Jun 14, 2018","18,271.10","17,900.05","18,306.30","17,850.00","1.01K","1.51%"
"Jun 15, 2018","18,145.00","18,335.85","18,349.50","17,900.00","0.49K","-0.69%"
"Jun 18, 2018","18,008.55","18,161.75","18,197.80","17,950.00","0.45K","-0.75%"
"Jun 19, 2018","17,931.35","17,939.95","18,065.00","17,773.55","0.57K","-0.43%"
"Jun 20, 2018","17,814.10","17,846.30","17,985.75","17,720.00","0.69K","-0.65%"
"Jun 21, 2018","17,968.55","17,850.00","18,036.00","17,821.75","0.45K","0.87%"
"Jun 22, 2018","17,995.35","17,968.55","18,312.40","17,592.05","0.85K","0.15%"
"Jun 25, 2018","17,947.20","17,980.00","18,190.00","17,805.65","1.11K","-0.27%"
"Jun 26, 2018","17,736.65","17,896.85","18,160.00","17,571.00","0.92K","-1.17%"
"Jun 27, 2018","17,236.05","17,633.35","17,850.00","17,200.00","0.92K","-2.82%"
"Jun 28, 2018","17,281.05","17,271.00","17,443.35","17,171.35","0.24K","0.26%"
"Jun 29, 2018","17,488.75","17,180.90","17,575.70","17,180.90","0.38K","1.20%"
"Jul 02, 2018","17,453.95","17,530.75","17,595.00","17,300.00","0.42K","-0.20%"
"Jul 03, 2018","17,515.35","17,455.00","17,777.00","17,169.70","0.33K","0.35%"
"Jul 04, 2018","17,544.80","17,470.00","17,585.30","17,415.45","0.33K","0.17%"
"Jul 05, 2018","18,052.85","17,544.80","18,121.40","17,450.90","0.77K","2.90%"
"Jul 06, 2018","17,747.80","18,005.50","18,240.00","17,651.00","0.44K","-1.69%"
"Jul 09, 2018","17,962.45","17,867.40","18,079.60","17,500.00","0.78K","1.21%"
"Jul 10, 2018","17,822.25","17,970.00","18,190.00","17,750.00","0.90K","-0.78%"
"Jul 11, 2018","17,637.60","17,870.00","17,964.90","17,600.00","0.30K","-1.04%"
"Jul 12, 2018","17,462.70","17,606.00","17,815.45","17,405.00","0.42K","-0.99%"
"Jul 13, 2018","17,640.95","17,531.95","17,800.00","17,415.75","0.33K","1.02%"
"Jul 16, 2018","17,423.55","17,640.00","17,674.25","17,345.00","0.29K","-1.23%"
"Jul 17, 2018","17,457.45","17,352.45","17,512.55","17,352.45","0.22K","0.19%"
"Jul 18, 2018","17,599.10","17,549.95","17,679.00","17,483.50","0.28K","0.81%"
"Jul 19, 2018","17,641.65","17,516.50","17,790.00","17,486.55","0.20K","0.24%"
"Jul 20, 2018","17,565.25","17,674.95","17,741.55","17,500.00","0.51K","-0.43%"
"Jul 23, 2018","17,978.00","17,782.15","18,100.00","17,707.45","0.58K","2.35%"
"Jul 24, 2018","18,692.30","18,030.85","18,750.00","18,030.85","2.33K","3.97%"
"Jul 25, 2018","19,021.75","18,699.75","19,114.85","18,442.75","3.70K","1.76%"
