"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","540.35","536.50","547.95","535.00","85.37K","0.84%"
"May 29, 2018","530.75","541.50","542.55","527.95","54.77K","-1.78%"
"May 30, 2018","525.30","531.90","531.90","520.50","1.22M","-1.03%"
"May 31, 2018","524.50","528.80","533.50","521.05","232.82K","-0.15%"
"Jun 01, 2018","523.35","531.95","531.95","521.20","82.26K","-0.22%"
"Jun 04, 2018","519.85","529.50","529.50","517.80","64.60K","-0.67%"
"Jun 05, 2018","540.50","525.00","542.75","518.00","3.09M","3.97%"
"Jun 06, 2018","537.35","542.00","547.00","533.90","109.01K","-0.58%"
"Jun 07, 2018","540.25","540.00","542.45","537.05","43.92K","0.54%"
"Jun 08, 2018","558.25","540.10","561.50","539.50","204.04K","3.33%"
"Jun 11, 2018","559.75","559.00","569.90","558.10","84.94K","0.27%"
"Jun 12, 2018","567.05","567.00","572.95","564.05","467.83K","1.30%"
"Jun 13, 2018","581.40","573.70","592.50","570.00","239.12K","2.53%"
"Jun 14, 2018","587.95","590.50","592.15","583.35","173.03K","1.13%"
"Jun 15, 2018","612.00","592.50","614.95","590.15","311.92K","4.09%"
"Jun 18, 2018","606.00","614.00","619.00","600.60","138.64K","-0.98%"
"Jun 19, 2018","602.25","608.80","609.95","598.25","99.84K","-0.62%"
"Jun 20, 2018","603.55","610.50","622.00","599.95","394.31K","0.22%"
"Jun 21, 2018","601.65","609.80","609.80","600.50","307.24K","-0.31%"
"Jun 22, 2018","614.00","605.70","617.40","595.30","197.34K","2.05%"
"Jun 25, 2018","610.70","618.00","622.10","608.20","151.59K","-0.54%"
"Jun 26, 2018","599.30","610.70","610.70","597.30","106.68K","-1.87%"
"Jun 27, 2018","602.00","602.00","606.95","593.40","127.67K","0.45%"
"Jun 28, 2018","600.70","603.00","609.80","596.10","105.66K","-0.22%"
"Jun 29, 2018","614.95","601.00","618.10","599.95","118.22K","2.37%"
"Jul 02, 2018","615.75","619.40","620.00","610.65","116.79K","0.13%"
"Jul 03, 2018","640.35","617.00","643.95","608.60","297.15K","4.00%"
"Jul 04, 2018","629.25","645.00","649.25","625.30","259.81K","-1.73%"
"Jul 05, 2018","626.70","630.00","636.50","623.00","111.57K","-0.41%"
"Jul 06, 2018","613.45","629.90","630.65","610.15","153.23K","-2.11%"
"Jul 09, 2018","622.60","614.35","624.90","614.35","72.44K","1.49%"
"Jul 10, 2018","630.60","623.55","631.95","620.10","65.00K","1.28%"
"Jul 11, 2018","624.70","620.00","630.00","620.00","53.80K","-0.94%"
"Jul 12, 2018","632.20","630.00","636.20","623.30","92.93K","1.20%"
"Jul 13, 2018","626.45","632.20","634.05","624.65","54.22K","-0.91%"
"Jul 16, 2018","621.40","627.95","635.05","612.30","109.39K","-0.81%"
"Jul 17, 2018","637.55","621.40","639.15","620.45","310.34K","2.60%"
"Jul 18, 2018","627.15","639.50","644.15","625.30","103.07K","-1.63%"
"Jul 19, 2018","611.05","626.50","632.15","606.35","92.70K","-2.57%"
"Jul 20, 2018","625.70","614.00","628.75","603.00","102.09K","2.40%"
"Jul 23, 2018","633.50","627.90","637.70","617.50","90.64K","1.25%"
"Jul 24, 2018","627.30","634.00","634.00","625.10","44.93K","-0.98%"
"Jul 25, 2018","623.55","628.00","630.55","614.50","75.64K","-0.60%"
"Jul 26, 2018","627.05","621.80","630.75","618.10","671.48K","0.56%"
"Jul 27, 2018","634.10","628.00","640.05","625.90","102.94K","1.12%"
"Jul 30, 2018","632.50","630.55","636.30","627.95","52.37K","-0.25%"
"Jul 31, 2018","639.75","631.00","645.80","628.25","151.63K","1.15%"
"Aug 01, 2018","638.35","641.00","641.00","634.60","59.94K","-0.22%"
"Aug 02, 2018","638.15","639.95","650.75","633.40","691.53K","-0.03%"
"Aug 03, 2018","640.55","642.00","647.50","639.05","371.33K","0.38%"
"Aug 06, 2018","637.10","643.00","648.60","635.20","263.92K","-0.54%"
"Aug 07, 2018","628.70","639.50","639.50","627.30","145.95K","-1.32%"
"Aug 08, 2018","633.40","630.15","645.00","623.80","333.12K","0.75%"
"Aug 09, 2018","619.25","649.00","661.90","616.00","642.25K","-2.23%"
"Aug 10, 2018","620.90","621.00","628.70","614.25","126.71K","0.27%"
"Aug 13, 2018","626.65","621.00","630.90","620.65","106.81K","0.93%"
"Aug 14, 2018","641.95","626.00","644.95","626.00","144.41K","2.44%"
"Aug 16, 2018","647.40","643.00","659.10","634.50","212.03K","0.85%"
"Aug 17, 2018","648.15","651.80","655.00","645.00","112.53K","0.12%"
"Aug 20, 2018","643.70","648.15","653.00","641.60","88.39K","-0.69%"
"Aug 21, 2018","650.65","646.00","654.80","644.00","168.52K","1.08%"
"Aug 23, 2018","657.10","654.40","664.00","652.70","147.80K","0.99%"
"Aug 24, 2018","650.95","657.10","657.15","644.60","136.08K","-0.94%"
"Aug 27, 2018","659.40","653.00","662.10","648.05","112.00K","1.30%"
"Aug 28, 2018","648.95","660.30","677.50","645.75","329.09K","-1.58%"
"Aug 29, 2018","643.60","650.00","653.90","640.25","148.81K","-0.82%"
"Aug 30, 2018","648.65","660.00","660.00","641.30","139.23K","0.78%"
"Aug 31, 2018","660.05","650.00","663.75","650.00","160.85K","1.76%"
"Sep 03, 2018","648.90","665.00","671.40","645.10","261.51K","-1.69%"
"Sep 04, 2018","642.80","650.00","654.05","639.30","161.41K","-0.94%"
"Sep 05, 2018","645.95","644.90","651.35","638.00","131.40K","0.49%"
"Sep 06, 2018","660.85","648.50","663.50","647.55","139.61K","2.31%"
"Sep 07, 2018","663.90","669.00","669.25","656.50","238.73K","0.46%"
"Sep 10, 2018","667.40","663.90","677.70","663.90","281.11K","0.53%"
"Sep 11, 2018","655.45","673.25","675.00","652.00","171.22K","-1.79%"
"Sep 12, 2018","657.80","654.90","662.00","643.50","199.45K","0.36%"
"Sep 14, 2018","666.25","664.00","669.80","660.65","139.85K","1.28%"
"Sep 17, 2018","663.00","668.00","671.90","660.30","136.53K","-0.49%"
"Sep 18, 2018","662.25","665.95","672.00","659.25","96.29K","-0.11%"
"Sep 19, 2018","659.45","665.00","678.00","646.25","308.93K","-0.42%"
"Sep 21, 2018","660.60","665.10","670.15","639.45","196.88K","0.17%"
"Sep 24, 2018","646.10","664.00","667.80","640.35","118.80K","-2.19%"
"Sep 25, 2018","660.20","646.00","664.30","645.00","120.24K","2.18%"
"Sep 26, 2018","671.00","665.65","673.70","660.00","113.03K","1.64%"
"Sep 27, 2018","659.45","675.00","677.45","656.50","133.08K","-1.72%"
"Sep 28, 2018","653.30","662.95","662.95","648.50","112.19K","-0.93%"
"Oct 01, 2018","654.30","655.00","660.00","643.85","78.13K","0.15%"
"Oct 03, 2018","653.65","654.30","663.45","652.00","59.03K","-0.10%"
"Oct 04, 2018","637.80","654.00","654.80","632.70","102.56K","-2.42%"
"Oct 05, 2018","634.55","637.00","648.00","631.00","1.19M","-0.51%"
