"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","1,830.35","1,837.00","1,837.00","1,821.30","22.58K","0.57%"
"May 29, 2018","1,810.15","1,830.00","1,830.00","1,805.00","25.07K","-1.10%"
"May 30, 2018","1,792.90","1,813.50","1,824.90","1,782.00","38.02K","-0.95%"
"May 31, 2018","1,828.50","1,805.00","1,835.05","1,797.50","624.58K","1.99%"
"Jun 01, 2018","1,843.35","1,830.00","1,855.90","1,825.00","52.18K","0.81%"
"Jun 04, 2018","1,832.70","1,852.20","1,870.75","1,825.00","668.04K","-0.58%"
"Jun 05, 2018","1,847.05","1,835.00","1,850.00","1,820.10","18.14K","0.78%"
"Jun 06, 2018","1,854.65","1,850.00","1,860.45","1,837.85","16.11K","0.41%"
"Jun 07, 2018","1,866.80","1,860.00","1,872.95","1,853.25","34.85K","0.66%"
"Jun 08, 2018","1,840.20","1,860.00","1,860.70","1,828.00","36.23K","-1.42%"
"Jun 11, 2018","1,839.45","1,841.00","1,849.95","1,831.80","23.55K","-0.04%"
"Jun 12, 2018","1,847.80","1,843.00","1,855.00","1,836.85","19.45K","0.45%"
"Jun 13, 2018","1,830.30","1,853.00","1,855.00","1,827.05","27.58K","-0.95%"
"Jun 14, 2018","1,833.35","1,832.00","1,838.00","1,826.20","28.14K","0.17%"
"Jun 15, 2018","1,831.75","1,842.95","1,862.65","1,827.80","26.57K","-0.09%"
"Jun 18, 2018","1,824.75","1,835.00","1,835.00","1,820.00","21.09K","-0.38%"
"Jun 19, 2018","1,826.70","1,821.15","1,837.25","1,816.00","32.08K","0.11%"
"Jun 20, 2018","1,846.55","1,834.10","1,850.00","1,829.15","568.45K","1.09%"
"Jun 21, 2018","1,855.25","1,847.00","1,872.75","1,845.60","50.59K","0.47%"
"Jun 22, 2018","1,902.40","1,855.00","1,908.45","1,855.00","54.66K","2.54%"
"Jun 25, 2018","1,893.65","1,918.00","1,918.00","1,885.35","44.89K","-0.46%"
"Jun 26, 2018","1,913.40","1,876.00","1,921.90","1,876.00","55.24K","1.04%"
"Jun 27, 2018","1,907.00","1,915.10","1,935.00","1,896.90","36.63K","-0.33%"
"Jun 28, 2018","1,879.05","1,896.20","1,912.75","1,865.80","47.49K","-1.47%"
"Jun 29, 2018","1,907.35","1,892.45","1,911.50","1,875.10","33.36K","1.51%"
"Jul 02, 2018","1,894.10","1,925.00","1,925.00","1,879.00","21.18K","-0.69%"
"Jul 03, 2018","1,883.45","1,905.50","1,905.50","1,876.60","20.70K","-0.56%"
"Jul 04, 2018","1,922.85","1,879.00","1,927.10","1,879.00","31.54K","2.09%"
"Jul 05, 2018","1,931.60","1,923.00","1,936.95","1,908.35","33.33K","0.46%"
"Jul 06, 2018","1,915.75","1,931.00","1,938.15","1,905.40","30.15K","-0.82%"
"Jul 09, 2018","1,909.70","1,920.00","1,929.00","1,901.60","131.21K","-0.32%"
"Jul 10, 2018","1,939.20","1,913.60","1,944.00","1,904.50","45.57K","1.54%"
