"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","602.49","609.34","611.64","598.32","380.41K","-1.16%"
"May 29, 2018","603.56","605.22","607.97","598.77","117.42K","0.18%"
"May 30, 2018","602.29","603.58","609.68","598.77","752.22K","-0.21%"
"May 31, 2018","611.12","603.73","615.14","600.48","210.64K","1.47%"
"Jun 01, 2018","605.34","611.12","617.70","604.18","265.56K","-0.95%"
"Jun 04, 2018","614.94","605.22","616.80","601.62","177.58K","1.59%"
"Jun 05, 2018","605.82","607.75","615.64","603.73","91.66K","-1.48%"
"Jun 06, 2018","612.96","605.82","615.44","605.27","135.16K","1.18%"
"Jun 07, 2018","620.50","614.15","623.58","613.65","314.00K","1.23%"
"Jun 08, 2018","624.94","620.05","626.28","617.70","831.57K","0.72%"
"Jun 11, 2018","626.58","624.94","630.02","623.08","137.44K","0.26%"
"Jun 12, 2018","624.27","627.54","630.45","620.55","218.43K","-0.37%"
"Jun 13, 2018","633.05","627.54","636.97","625.56","225.81K","1.41%"
"Jun 14, 2018","619.35","629.50","629.50","617.02","299.52K","-2.16%"
"Jun 15, 2018","640.23","619.35","645.00","618.50","388.53K","3.37%"
"Jun 18, 2018","633.25","642.50","645.25","631.15","181.66K","-1.09%"
"Jun 19, 2018","622.02","633.00","633.00","618.00","209.95K","-1.77%"
"Jun 20, 2018","621.67","622.50","626.23","619.55","110.25K","-0.06%"
"Jun 21, 2018","623.17","625.00","627.90","618.73","101.39K","0.24%"
"Jun 22, 2018","623.23","622.75","627.00","620.90","78.71K","0.01%"
"Jun 25, 2018","636.15","625.00","639.48","625.00","290.81K","2.07%"
"Jun 26, 2018","638.92","634.95","641.90","630.00","153.98K","0.44%"
"Jun 27, 2018","634.60","640.58","646.95","632.15","201.17K","-0.68%"
"Jun 28, 2018","644.42","634.60","649.10","634.60","196.67K","1.55%"
"Jun 29, 2018","653.38","647.60","656.73","642.00","237.25K","1.39%"
"Jul 02, 2018","667.23","656.95","670.90","656.95","241.90K","2.12%"
"Jul 03, 2018","676.83","670.00","679.00","666.65","274.66K","1.44%"
"Jul 04, 2018","672.30","676.50","677.48","669.85","131.98K","-0.67%"
"Jul 05, 2018","642.25","674.90","675.00","634.42","914.54K","-4.47%"
"Jul 06, 2018","642.25","640.00","650.67","634.75","397.91K","0.00%"
"Jul 09, 2018","649.58","646.27","651.50","639.75","296.84K","1.14%"
"Jul 10, 2018","651.25","652.60","657.75","647.50","273.56K","0.26%"
"Jul 11, 2018","660.17","655.00","670.95","646.50","598.29K","1.37%"
"Jul 12, 2018","647.30","662.00","663.35","642.30","989.93K","-1.95%"
"Jul 13, 2018","654.55","655.00","665.67","650.08","2.21M","1.12%"
"Jul 16, 2018","666.52","662.50","692.20","644.17","1.92M","1.83%"
"Jul 17, 2018","663.70","666.35","674.40","656.75","532.45K","-0.42%"
"Jul 18, 2018","661.20","670.00","671.60","657.17","369.34K","-0.38%"
"Jul 19, 2018","658.27","661.20","665.15","655.42","232.29K","-0.44%"
"Jul 20, 2018","674.17","660.52","683.52","660.52","1.63M","2.42%"
"Jul 23, 2018","677.88","675.05","684.02","668.35","260.56K","0.55%"
"Jul 24, 2018","688.00","681.00","689.90","678.25","226.98K","1.49%"
"Jul 25, 2018","691.85","690.00","696.05","683.05","385.11K","0.56%"
"Jul 26, 2018","687.60","690.00","694.85","684.50","1.79M","-0.61%"
"Jul 27, 2018","687.27","690.00","694.15","685.00","2.53M","-0.05%"
"Jul 30, 2018","676.58","692.50","692.50","675.00","3.18M","-1.56%"
"Jul 31, 2018","682.50","675.00","685.02","667.50","5.73M","0.87%"
"Aug 01, 2018","676.88","682.92","684.00","675.50","2.35M","-0.82%"
"Aug 02, 2018","677.70","677.55","683.23","675.55","139.23K","0.12%"
"Aug 03, 2018","682.05","680.00","683.20","678.20","3.16M","0.64%"
"Aug 06, 2018","680.40","682.50","687.90","674.02","219.60K","-0.24%"
"Aug 07, 2018","684.70","683.50","688.77","680.92","285.45K","0.63%"
"Aug 08, 2018","681.45","684.05","687.08","677.15","127.29K","-0.47%"
"Aug 09, 2018","690.15","683.02","694.90","683.02","316.76K","1.28%"
"Aug 10, 2018","692.60","691.15","694.45","686.77","122.95K","0.35%"
