"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","326.65","327.00","329.75","321.45","107.56K","0.37%"
"May 29, 2018","331.95","326.00","333.00","323.35","240.66K","1.62%"
"May 30, 2018","332.40","330.00","333.70","328.00","116.48K","0.14%"
"May 31, 2018","332.35","329.00","337.20","329.00","138.20K","-0.02%"
"Jun 01, 2018","332.00","332.00","337.45","328.10","217.63K","-0.11%"
"Jun 04, 2018","331.50","332.70","334.65","329.90","108.32K","-0.15%"
"Jun 05, 2018","328.70","333.00","333.05","325.35","146.75K","-0.84%"
"Jun 06, 2018","337.50","328.70","338.55","328.70","158.14K","2.68%"
"Jun 07, 2018","343.40","340.00","346.40","339.75","217.20K","1.75%"
"Jun 08, 2018","343.00","345.00","345.00","339.00","131.33K","-0.12%"
"Jun 11, 2018","340.70","343.60","346.00","340.20","102.74K","-0.67%"
"Jun 12, 2018","341.20","341.50","345.20","338.80","146.08K","0.15%"
"Jun 13, 2018","342.70","343.80","345.50","339.20","152.04K","0.44%"
"Jun 14, 2018","339.10","342.00","343.95","337.05","120.80K","-1.05%"
"Jun 15, 2018","332.15","339.00","341.35","330.55","168.00K","-2.05%"
"Jun 18, 2018","327.55","334.00","334.00","322.50","140.92K","-1.38%"
"Jun 19, 2018","327.35","326.90","331.25","323.20","158.91K","-0.06%"
"Jun 20, 2018","335.15","327.00","336.40","327.00","128.50K","2.38%"
"Jun 21, 2018","333.05","338.60","338.60","331.65","113.95K","-0.63%"
"Jun 22, 2018","336.80","332.00","337.95","332.00","136.47K","1.13%"
"Jun 25, 2018","332.05","338.45","338.45","330.00","128.67K","-1.41%"
"Jun 26, 2018","322.80","326.80","330.05","321.70","130.32K","-2.79%"
"Jun 27, 2018","318.45","324.45","324.45","317.00","113.14K","-1.35%"
"Jun 28, 2018","322.75","316.10","325.00","313.90","140.74K","1.35%"
"Jun 29, 2018","326.60","323.80","328.45","322.60","123.66K","1.19%"
"Jul 02, 2018","313.25","326.60","328.75","311.50","191.61K","-4.09%"
"Jul 03, 2018","311.80","313.00","314.45","306.05","154.41K","-0.46%"
"Jul 04, 2018","312.00","309.80","315.25","308.65","83.50K","0.06%"
"Jul 05, 2018","310.40","311.05","312.75","308.10","66.29K","-0.51%"
"Jul 06, 2018","309.30","307.40","312.70","301.40","159.93K","-0.35%"
"Jul 09, 2018","312.95","311.00","314.55","310.25","90.62K","1.18%"
"Jul 10, 2018","316.75","314.00","318.00","312.80","126.30K","1.21%"
"Jul 11, 2018","312.65","316.50","316.50","310.80","137.49K","-1.29%"
"Jul 12, 2018","316.80","313.00","320.50","312.80","164.70K","1.33%"
"Jul 13, 2018","316.75","318.80","320.15","314.10","177.52K","-0.02%"
"Jul 16, 2018","307.45","316.75","318.35","306.15","179.07K","-2.94%"
"Jul 17, 2018","307.40","306.00","309.20","302.25","220.07K","-0.02%"
"Jul 18, 2018","296.70","307.05","310.40","293.95","201.80K","-3.48%"
"Jul 19, 2018","304.45","296.70","310.50","294.25","838.99K","2.61%"
"Jul 20, 2018","303.55","305.40","308.30","299.70","175.44K","-0.30%"
"Jul 23, 2018","306.60","305.00","307.40","299.90","140.97K","1.00%"
"Jul 24, 2018","318.30","307.00","319.90","305.00","1.25M","3.82%"
"Jul 25, 2018","316.65","321.45","327.60","310.60","514.62K","-0.52%"
"Jul 26, 2018","312.15","317.70","317.80","309.25","282.47K","-1.42%"
"Jul 27, 2018","323.10","315.40","325.35","314.25","289.92K","3.51%"
"Jul 30, 2018","327.95","330.00","330.00","316.65","151.03K","1.50%"
"Jul 31, 2018","329.90","328.00","332.65","325.15","192.80K","0.59%"
"Aug 01, 2018","327.55","330.95","332.45","324.50","158.54K","-0.71%"
"Aug 02, 2018","332.00","327.90","334.80","321.65","169.08K","1.36%"
"Aug 03, 2018","336.45","332.60","337.90","332.60","125.13K","1.34%"
"Aug 06, 2018","336.45","337.05","341.20","335.90","152.77K","0.00%"
"Aug 07, 2018","340.10","338.55","342.50","335.40","218.34K","1.08%"
"Aug 08, 2018","342.35","344.00","344.95","340.00","131.25K","0.66%"
"Aug 09, 2018","342.80","343.05","345.40","341.35","125.76K","0.13%"
"Aug 10, 2018","339.60","341.80","344.15","337.50","141.03K","-0.93%"
"Aug 13, 2018","341.85","339.00","346.15","335.60","154.93K","0.66%"
"Aug 14, 2018","340.40","342.00","350.50","338.35","232.53K","-0.42%"
"Aug 16, 2018","328.30","337.90","337.90","326.90","306.58K","-3.55%"
"Aug 17, 2018","333.50","331.00","335.45","330.00","204.43K","1.58%"
"Aug 20, 2018","341.55","334.70","342.25","334.70","257.47K","2.41%"
"Aug 21, 2018","341.35","342.05","344.05","338.45","111.25K","-0.06%"
"Aug 23, 2018","339.45","341.00","342.95","336.00","114.84K","-0.56%"
"Aug 24, 2018","354.55","336.40","355.40","336.05","428.19K","4.45%"
"Aug 27, 2018","355.65","359.10","364.80","353.05","317.77K","0.31%"
"Aug 28, 2018","366.15","356.55","369.00","353.55","265.63K","2.95%"
"Aug 29, 2018","399.00","371.25","405.40","371.25","3.93M","8.97%"
"Aug 30, 2018","397.25","399.90","408.65","393.20","1.16M","-0.44%"
"Aug 31, 2018","396.50","398.50","403.40","392.75","374.47K","-0.19%"
"Sep 03, 2018","396.30","399.00","402.00","393.45","442.66K","-0.05%"
"Sep 04, 2018","390.80","397.55","398.65","386.30","383.64K","-1.39%"
"Sep 05, 2018","398.25","389.95","401.25","387.35","496.55K","1.91%"
"Sep 06, 2018","398.00","404.20","404.20","396.00","294.88K","-0.06%"
"Sep 07, 2018","405.70","397.00","409.45","394.80","447.81K","1.93%"
"Sep 10, 2018","401.10","410.70","415.00","399.00","557.06K","-1.13%"
"Sep 11, 2018","394.45","402.00","403.50","392.25","285.07K","-1.66%"
"Sep 12, 2018","399.85","395.00","401.00","388.20","311.51K","1.37%"
"Sep 14, 2018","407.00","400.35","411.80","400.35","410.12K","1.79%"
"Sep 17, 2018","411.05","407.00","416.30","403.40","533.42K","1.00%"
"Sep 18, 2018","406.70","410.00","415.80","404.60","246.82K","-1.06%"
"Sep 19, 2018","416.60","409.00","423.30","409.00","525.84K","2.43%"
"Sep 21, 2018","407.80","419.00","427.30","390.80","579.23K","-2.11%"
"Sep 24, 2018","399.40","410.00","413.75","396.55","514.20K","-2.06%"
"Sep 25, 2018","403.45","399.40","406.50","389.50","410.80K","1.01%"
"Sep 26, 2018","407.85","406.00","411.35","401.30","213.15K","1.09%"
"Sep 27, 2018","400.45","409.05","411.90","396.95","232.39K","-1.81%"
"Sep 28, 2018","380.35","404.95","407.05","375.00","686.33K","-5.02%"
"Oct 01, 2018","380.50","379.00","386.30","370.50","922.93K","0.04%"
"Oct 03, 2018","382.35","380.35","386.95","376.90","276.92K","0.49%"
"Oct 04, 2018","375.90","378.50","386.00","373.30","317.26K","-1.69%"
"Oct 05, 2018","365.40","376.95","379.00","360.15","577.89K","-2.79%"
"Oct 08, 2018","375.25","357.10","380.25","357.00","409.55K","2.70%"
"Oct 09, 2018","370.40","377.00","381.45","363.70","340.73K","-1.29%"
"Oct 10, 2018","376.10","370.40","382.20","370.40","248.13K","1.54%"
"Oct 11, 2018","361.25","371.70","372.80","355.25","333.99K","-3.95%"
"Oct 12, 2018","378.70","366.00","379.95","364.35","203.18K","4.83%"
"Oct 15, 2018","376.05","383.90","383.90","372.65","118.13K","-0.70%"
"Oct 16, 2018","373.90","377.65","384.90","372.00","199.48K","-0.57%"
"Oct 17, 2018","361.70","377.00","378.05","359.65","201.43K","-3.26%"
"Oct 19, 2018","363.10","363.50","369.80","355.00","387.23K","0.39%"
"Oct 22, 2018","354.35","365.00","368.00","353.05","290.56K","-2.41%"
