"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","1,301.15","1,310.00","1,310.00","1,290.15","34.91K","0.22%"
"May 29, 2018","1,283.15","1,311.00","1,311.00","1,275.00","575.47K","-1.38%"
"May 30, 2018","1,302.15","1,283.00","1,305.95","1,270.60","42.12K","1.48%"
"May 31, 2018","1,337.00","1,304.00","1,395.95","1,301.50","782.97K","2.68%"
"Jun 01, 2018","1,318.80","1,320.00","1,334.30","1,308.75","82.80K","-1.36%"
"Jun 04, 2018","1,303.95","1,329.40","1,332.95","1,293.20","966.83K","-1.13%"
"Jun 05, 2018","1,304.25","1,302.80","1,313.15","1,297.70","34.01K","0.02%"
"Jun 06, 2018","1,316.00","1,305.00","1,320.70","1,301.60","30.83K","0.90%"
"Jun 07, 2018","1,308.45","1,320.00","1,334.75","1,305.00","430.09K","-0.57%"
"Jun 08, 2018","1,318.80","1,310.00","1,324.70","1,301.55","36.71K","0.79%"
"Jun 11, 2018","1,320.30","1,325.00","1,329.60","1,316.85","42.51K","0.11%"
"Jun 12, 2018","1,331.35","1,324.00","1,335.00","1,321.00","33.31K","0.84%"
"Jun 13, 2018","1,326.25","1,332.00","1,332.00","1,314.05","25.72K","-0.38%"
"Jun 14, 2018","1,333.55","1,333.50","1,337.95","1,320.00","31.94K","0.55%"
"Jun 15, 2018","1,340.45","1,335.00","1,343.85","1,323.35","43.12K","0.52%"
"Jun 18, 2018","1,314.05","1,345.00","1,345.00","1,310.00","56.73K","-1.97%"
"Jun 19, 2018","1,307.15","1,315.00","1,322.20","1,303.00","32.52K","-0.53%"
"Jun 20, 2018","1,327.75","1,312.50","1,331.70","1,300.00","57.38K","1.58%"
"Jun 21, 2018","1,313.45","1,330.00","1,334.00","1,309.35","49.16K","-1.08%"
"Jun 22, 2018","1,320.25","1,313.00","1,324.00","1,308.75","38.09K","0.52%"
"Jun 25, 2018","1,329.45","1,336.00","1,336.00","1,314.80","50.97K","0.70%"
"Jun 26, 2018","1,330.75","1,320.00","1,342.00","1,320.00","155.07K","0.10%"
"Jun 27, 2018","1,324.75","1,342.00","1,343.35","1,318.45","39.93K","-0.45%"
"Jun 28, 2018","1,338.10","1,323.80","1,346.20","1,312.25","58.79K","1.01%"
"Jun 29, 2018","1,341.80","1,345.00","1,359.50","1,336.00","81.80K","0.28%"
"Jul 02, 2018","1,338.50","1,358.70","1,358.70","1,332.75","68.58K","-0.25%"
"Jul 03, 2018","1,352.55","1,349.00","1,356.20","1,329.00","25.92K","1.05%"
"Jul 04, 2018","1,366.35","1,353.70","1,370.20","1,346.45","46.54K","1.02%"
"Jul 05, 2018","1,364.20","1,376.00","1,379.55","1,361.20","168.83K","-0.16%"
"Jul 06, 2018","1,370.65","1,366.00","1,376.55","1,360.05","26.67K","0.47%"
"Jul 09, 2018","1,385.70","1,372.05","1,388.00","1,368.70","52.59K","1.10%"
"Jul 10, 2018","1,372.45","1,390.00","1,390.00","1,367.65","41.70K","-0.96%"
"Jul 11, 2018","1,382.20","1,370.80","1,387.40","1,370.00","34.62K","0.71%"
"Jul 12, 2018","1,393.60","1,395.50","1,399.70","1,384.95","43.97K","0.82%"
"Jul 13, 2018","1,404.85","1,389.70","1,411.35","1,387.15","58.09K","0.81%"
"Jul 16, 2018","1,408.35","1,414.95","1,415.50","1,398.55","34.64K","0.25%"
"Jul 17, 2018","1,402.70","1,424.00","1,424.00","1,392.90","163.23K","-0.40%"
"Jul 18, 2018","1,402.05","1,420.00","1,420.00","1,393.10","33.57K","-0.05%"
"Jul 19, 2018","1,350.25","1,409.50","1,412.35","1,335.00","321.21K","-3.69%"
"Jul 20, 2018","1,333.45","1,349.90","1,365.50","1,328.10","93.00K","-1.24%"
"Jul 23, 2018","1,336.20","1,333.45","1,351.35","1,321.95","45.62K","0.21%"
"Jul 24, 2018","1,313.35","1,350.00","1,350.00","1,305.00","101.71K","-1.71%"
"Jul 25, 2018","1,314.80","1,313.00","1,320.00","1,294.60","71.22K","0.11%"
