"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","1,377.60","1,347.05","1,383.80","1,345.05","139.71K","2.52%"
"May 29, 2018","1,380.10","1,395.00","1,423.90","1,376.70","338.18K","0.18%"
"May 30, 2018","1,365.20","1,380.00","1,380.00","1,357.50","110.04K","-1.08%"
"May 31, 2018","1,367.60","1,366.05","1,377.15","1,355.10","655.97K","0.18%"
"Jun 01, 2018","1,371.30","1,379.75","1,395.95","1,363.15","195.09K","0.27%"
"Jun 04, 2018","1,360.30","1,378.00","1,385.00","1,355.40","393.10K","-0.80%"
"Jun 05, 2018","1,334.00","1,364.00","1,364.00","1,328.60","76.15K","-1.93%"
"Jun 06, 2018","1,349.60","1,333.00","1,353.95","1,333.00","71.14K","1.17%"
"Jun 07, 2018","1,354.20","1,354.00","1,364.90","1,349.00","314.45K","0.34%"
"Jun 08, 2018","1,343.60","1,353.00","1,354.75","1,331.35","110.80K","-0.78%"
"Jun 11, 2018","1,342.60","1,340.00","1,354.40","1,336.00","76.75K","-0.07%"
"Jun 12, 2018","1,363.75","1,350.00","1,366.20","1,344.40","94.39K","1.58%"
"Jun 13, 2018","1,357.15","1,365.00","1,369.80","1,353.00","57.54K","-0.48%"
"Jun 14, 2018","1,345.30","1,360.00","1,360.00","1,342.25","67.84K","-0.87%"
"Jun 15, 2018","1,328.70","1,340.00","1,345.30","1,323.50","102.90K","-1.23%"
"Jun 18, 2018","1,323.15","1,330.00","1,336.70","1,321.00","58.21K","-0.42%"
"Jun 19, 2018","1,314.10","1,321.80","1,327.00","1,309.50","221.54K","-0.68%"
"Jun 20, 2018","1,307.05","1,310.00","1,318.05","1,300.00","112.41K","-0.54%"
"Jun 21, 2018","1,290.30","1,310.00","1,316.35","1,287.00","193.19K","-1.28%"
"Jun 22, 2018","1,295.50","1,287.20","1,305.90","1,282.10","688.90K","0.40%"
"Jun 25, 2018","1,269.00","1,307.40","1,307.60","1,265.85","104.07K","-2.05%"
"Jun 26, 2018","1,269.50","1,269.00","1,283.50","1,262.15","167.58K","0.04%"
"Jun 27, 2018","1,235.10","1,271.00","1,274.20","1,232.00","163.58K","-2.71%"
"Jun 28, 2018","1,236.00","1,234.75","1,240.85","1,205.60","175.71K","0.07%"
"Jun 29, 2018","1,271.30","1,238.00","1,274.80","1,235.00","129.49K","2.86%"
"Jul 02, 2018","1,255.85","1,277.55","1,278.00","1,243.50","261.47K","-1.22%"
"Jul 03, 2018","1,252.35","1,260.00","1,263.05","1,246.00","81.81K","-0.28%"
"Jul 04, 2018","1,259.40","1,246.10","1,262.45","1,243.95","138.21K","0.56%"
"Jul 05, 2018","1,253.50","1,263.00","1,265.40","1,246.15","98.03K","-0.47%"
"Jul 06, 2018","1,266.65","1,252.85","1,277.65","1,245.00","100.88K","1.05%"
