"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","781.95","749.85","785.00","748.95","156.36K","4.68%"
"May 29, 2018","780.80","781.95","798.00","769.00","111.50K","-0.15%"
"May 30, 2018","778.25","778.70","789.35","772.00","46.76K","-0.33%"
"May 31, 2018","768.00","780.00","784.40","762.00","60.03K","-1.32%"
"Jun 01, 2018","763.10","770.25","781.95","761.60","56.86K","-0.64%"
"Jun 04, 2018","772.40","763.50","779.50","753.60","85.38K","1.22%"
"Jun 05, 2018","758.50","773.05","776.80","746.00","70.59K","-1.80%"
"Jun 06, 2018","769.20","755.00","776.45","755.00","96.38K","1.41%"
"Jun 07, 2018","767.40","772.50","775.75","762.70","70.57K","-0.23%"
"Jun 08, 2018","810.80","766.00","824.00","764.00","384.87K","5.66%"
"Jun 11, 2018","807.65","814.45","829.10","805.25","198.60K","-0.39%"
"Jun 12, 2018","854.30","819.00","862.70","812.40","1.13M","5.78%"
"Jun 13, 2018","869.60","863.00","880.80","861.00","466.56K","1.79%"
"Jun 14, 2018","898.70","876.25","904.00","863.50","391.55K","3.35%"
"Jun 15, 2018","910.40","909.65","923.10","905.00","465.90K","1.30%"
"Jun 18, 2018","902.30","911.00","917.00","887.75","212.60K","-0.89%"
"Jun 19, 2018","898.30","903.00","920.60","894.10","315.94K","-0.44%"
"Jun 20, 2018","899.85","903.55","912.90","896.10","136.74K","0.17%"
"Jun 21, 2018","898.85","903.00","907.45","891.65","176.00K","-0.11%"
"Jun 22, 2018","904.90","897.00","908.60","882.00","224.70K","0.67%"
"Jun 25, 2018","914.05","907.00","920.00","905.00","628.23K","1.01%"
"Jun 26, 2018","902.20","915.10","921.35","900.00","129.60K","-1.30%"
"Jun 27, 2018","892.30","902.50","908.00","878.40","132.55K","-1.10%"
"Jun 28, 2018","895.05","885.35","908.75","882.05","161.68K","0.31%"
"Jun 29, 2018","903.70","900.50","912.60","894.90","198.57K","0.97%"
"Jul 02, 2018","888.05","904.85","905.00","885.00","122.49K","-1.73%"
"Jul 03, 2018","902.90","885.95","907.00","880.45","245.37K","1.67%"
"Jul 04, 2018","933.45","908.00","937.40","908.00","338.99K","3.38%"
"Jul 05, 2018","922.25","939.00","945.85","916.95","183.80K","-1.20%"
"Jul 06, 2018","915.80","920.20","939.00","910.95","154.04K","-0.70%"
"Jul 09, 2018","911.95","920.00","929.65","909.40","114.82K","-0.42%"
"Jul 10, 2018","903.20","919.00","920.65","900.05","232.71K","-0.96%"
"Jul 11, 2018","901.10","902.10","914.40","896.25","176.60K","-0.23%"
"Jul 12, 2018","885.25","900.05","909.00","882.60","149.33K","-1.76%"
"Jul 13, 2018","865.20","886.00","892.50","862.50","189.00K","-2.26%"
"Jul 16, 2018","818.45","865.05","869.95","815.05","660.51K","-5.40%"
"Jul 17, 2018","828.25","821.00","831.75","811.00","193.27K","1.20%"
"Jul 18, 2018","809.80","823.80","826.65","800.00","197.55K","-2.23%"
"Jul 19, 2018","795.25","812.00","813.80","788.90","500.01K","-1.80%"
"Jul 20, 2018","800.30","800.00","802.60","792.60","146.02K","0.64%"
"Jul 23, 2018","799.80","802.00","805.90","793.45","166.36K","-0.06%"
"Jul 24, 2018","821.10","804.10","825.95","799.65","672.85K","2.66%"
"Jul 25, 2018","800.00","821.10","823.00","796.20","103.43K","-2.57%"
"Jul 26, 2018","814.55","797.00","817.00","793.15","108.70K","1.82%"
"Jul 27, 2018","815.40","816.60","824.90","811.00","162.07K","0.10%"
"Jul 30, 2018","820.35","816.50","836.10","810.80","199.67K","0.61%"
"Jul 31, 2018","821.35","828.00","830.30","815.80","134.19K","0.12%"
"Aug 01, 2018","842.40","828.80","846.50","825.60","514.91K","2.56%"
"Aug 02, 2018","865.00","845.00","867.00","842.50","235.37K","2.68%"
"Aug 03, 2018","886.25","868.50","894.00","864.40","417.68K","2.46%"
"Aug 06, 2018","871.85","892.00","897.00","869.15","298.13K","-1.62%"
"Aug 07, 2018","865.05","873.00","888.30","857.10","227.74K","-0.78%"
"Aug 08, 2018","825.85","879.85","884.00","818.10","844.24K","-4.53%"
"Aug 09, 2018","820.75","814.70","843.20","805.10","660.27K","-0.62%"
"Aug 10, 2018","808.05","827.00","829.10","805.30","285.47K","-1.55%"
"Aug 13, 2018","811.25","805.00","818.40","802.00","117.67K","0.40%"
"Aug 14, 2018","832.50","816.00","835.00","808.00","311.80K","2.62%"
"Aug 16, 2018","849.35","833.15","851.60","825.70","193.18K","2.02%"
"Aug 17, 2018","879.35","854.70","882.00","851.00","258.39K","3.53%"
"Aug 20, 2018","869.80","885.70","891.80","867.10","258.18K","-1.09%"
"Aug 21, 2018","889.20","868.05","892.00","865.50","273.80K","2.23%"
"Aug 23, 2018","903.65","900.00","916.85","892.80","357.65K","1.63%"
"Aug 24, 2018","907.15","906.00","914.65","885.60","376.11K","0.39%"
"Aug 27, 2018","907.65","915.00","918.50","906.05","276.48K","0.06%"
"Aug 28, 2018","901.75","910.10","919.00","896.95","126.43K","-0.65%"
"Aug 29, 2018","887.40","899.10","905.00","883.00","228.65K","-1.59%"
"Aug 30, 2018","893.65","887.00","899.75","880.25","85.26K","0.70%"
"Aug 31, 2018","932.55","897.20","939.80","880.10","452.56K","4.35%"
"Sep 03, 2018","935.20","934.00","958.00","930.00","325.25K","0.28%"
"Sep 04, 2018","917.30","937.55","944.95","908.00","206.85K","-1.91%"
"Sep 05, 2018","903.15","917.00","927.10","896.80","319.26K","-1.54%"
"Sep 06, 2018","919.35","906.55","923.00","904.55","220.73K","1.79%"
"Sep 07, 2018","956.65","920.00","961.10","908.00","431.36K","4.06%"
"Sep 10, 2018","944.20","965.10","986.00","940.50","455.06K","-1.30%"
"Sep 11, 2018","939.60","952.00","959.05","933.00","231.61K","-0.49%"
"Sep 12, 2018","956.35","937.90","960.00","922.00","202.13K","1.78%"
"Sep 14, 2018","966.40","975.00","979.90","961.20","232.04K","1.05%"
"Sep 17, 2018","948.75","964.00","977.95","943.30","177.22K","-1.83%"
"Sep 18, 2018","929.70","958.45","963.00","927.00","163.38K","-2.01%"
"Sep 19, 2018","909.00","935.00","941.10","902.00","242.85K","-2.23%"
"Sep 21, 2018","889.75","916.65","931.50","851.00","388.00K","-2.12%"
"Sep 24, 2018","859.05","899.95","920.00","851.45","289.46K","-3.45%"
"Sep 25, 2018","880.65","860.00","885.00","858.40","199.10K","2.51%"
"Sep 26, 2018","889.50","893.00","909.00","885.00","132.60K","1.00%"
"Sep 27, 2018","896.85","895.00","902.00","874.00","137.79K","0.83%"
"Sep 28, 2018","900.70","896.90","917.75","883.10","239.24K","0.43%"
"Oct 01, 2018","898.10","909.90","909.90","879.35","115.23K","-0.29%"
"Oct 03, 2018","898.10","901.00","914.20","891.70","119.57K","0.00%"
"Oct 04, 2018","852.55","893.25","895.00","843.50","200.07K","-5.07%"
"Oct 05, 2018","839.00","854.90","866.25","830.05","171.62K","-1.59%"
"Oct 08, 2018","847.30","838.00","854.50","818.90","147.93K","0.99%"
"Oct 09, 2018","865.50","855.00","879.90","845.50","134.56K","2.15%"
"Oct 10, 2018","859.35","875.00","884.45","855.55","109.33K","-0.71%"
