"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","272.25","267.50","274.00","266.25","1.18M","1.97%"
"May 29, 2018","264.90","270.10","271.00","263.45","821.46K","-2.70%"
"May 30, 2018","266.90","261.60","268.05","260.00","1.08M","0.76%"
"May 31, 2018","269.20","267.40","272.85","263.20","863.01K","0.86%"
"Jun 01, 2018","266.75","269.50","269.70","264.60","746.89K","-0.91%"
"Jun 04, 2018","263.10","268.85","268.95","261.65","657.50K","-1.37%"
"Jun 05, 2018","263.50","262.00","265.05","261.00","797.51K","0.15%"
"Jun 06, 2018","269.90","263.00","270.80","262.15","1.00M","2.43%"
"Jun 07, 2018","269.25","271.40","272.70","268.40","1.04M","-0.24%"
"Jun 08, 2018","272.70","269.05","273.20","267.05","951.38K","1.28%"
"Jun 11, 2018","273.65","273.70","278.25","272.55","918.12K","0.35%"
"Jun 12, 2018","282.85","273.65","284.60","273.65","1.74M","3.36%"
"Jun 13, 2018","287.65","284.00","289.35","284.00","1.47M","1.70%"
"Jun 14, 2018","282.70","287.00","287.15","281.25","903.75K","-1.72%"
"Jun 15, 2018","277.55","282.70","283.40","276.50","703.22K","-1.82%"
"Jun 18, 2018","276.85","277.50","279.70","275.55","703.22K","-0.25%"
"Jun 19, 2018","272.40","276.00","276.70","270.10","1.15M","-1.61%"
"Jun 20, 2018","273.25","272.55","274.75","271.55","911.27K","0.31%"
"Jun 21, 2018","268.70","274.40","274.55","268.05","460.57K","-1.67%"
"Jun 22, 2018","273.25","268.00","273.90","265.80","775.70K","1.69%"
"Jun 25, 2018","268.30","273.00","275.00","267.40","482.28K","-1.81%"
"Jun 26, 2018","267.15","267.00","271.10","265.45","978.50K","-0.43%"
"Jun 27, 2018","261.65","268.00","268.00","260.80","795.49K","-2.06%"
"Jun 28, 2018","256.85","260.00","261.95","255.85","740.05K","-1.83%"
"Jun 29, 2018","259.30","257.60","263.30","257.60","569.76K","0.95%"
"Jul 02, 2018","259.10","259.90","261.60","254.00","882.39K","-0.08%"
"Jul 03, 2018","257.75","260.00","260.70","256.70","541.94K","-0.52%"
"Jul 04, 2018","257.50","257.00","258.35","254.65","764.40K","-0.10%"
"Jul 05, 2018","256.60","257.10","258.60","255.50","405.18K","-0.35%"
"Jul 06, 2018","257.45","256.90","260.90","255.70","652.81K","0.33%"
"Jul 09, 2018","261.35","258.00","262.40","258.00","569.40K","1.51%"
"Jul 10, 2018","263.50","262.10","265.60","262.10","545.86K","0.82%"
"Jul 11, 2018","258.90","263.45","263.45","258.00","586.33K","-1.75%"
"Jul 12, 2018","262.75","261.90","264.35","261.00","526.19K","1.49%"
"Jul 13, 2018","257.60","261.90","263.05","256.10","3.13M","-1.96%"
"Jul 16, 2018","251.75","257.00","257.55","251.10","481.57K","-2.27%"
"Jul 17, 2018","259.25","250.95","260.00","250.35","1.08M","2.98%"
"Jul 18, 2018","259.00","260.00","262.65","256.05","882.20K","-0.10%"
"Jul 19, 2018","260.15","259.10","263.20","256.00","772.87K","0.44%"
"Jul 20, 2018","260.95","260.90","262.90","258.65","677.08K","0.31%"
"Jul 23, 2018","266.40","261.50","267.35","260.70","776.99K","2.09%"
"Jul 24, 2018","266.70","266.40","269.25","265.70","583.73K","0.11%"
"Jul 25, 2018","271.45","269.40","272.55","265.80","810.37K","1.78%"
"Jul 26, 2018","286.70","275.00","288.50","273.55","2.15M","5.62%"
"Jul 27, 2018","286.60","289.00","296.80","285.00","1.94M","-0.03%"
"Jul 30, 2018","297.35","288.00","299.55","287.60","1.96M","3.75%"
"Jul 31, 2018","293.40","297.40","302.30","292.25","1.88M","-1.33%"
"Aug 01, 2018","295.10","295.00","297.80","289.00","1.76M","0.58%"
"Aug 02, 2018","294.00","293.90","296.20","290.60","884.85K","-0.37%"
"Aug 03, 2018","298.60","295.40","299.15","294.05","3.48M","1.56%"
"Aug 06, 2018","308.55","300.50","310.90","300.50","2.03M","3.33%"
"Aug 07, 2018","304.00","309.40","310.50","303.00","1.08M","-1.47%"
"Aug 08, 2018","308.65","305.50","310.55","303.15","1.06M","1.53%"
"Aug 09, 2018","316.45","313.00","319.20","310.10","2.51M","2.53%"
"Aug 10, 2018","304.45","317.70","325.85","301.10","6.46M","-3.79%"
"Aug 13, 2018","294.80","296.40","302.55","291.80","2.45M","-3.17%"
"Aug 14, 2018","294.70","296.95","299.10","293.75","1.68M","-0.03%"
"Aug 16, 2018","292.70","293.95","298.25","290.50","1.14M","-0.68%"
"Aug 17, 2018","302.00","295.90","302.65","294.20","1.40M","3.18%"
"Aug 20, 2018","307.55","304.00","308.50","303.70","1.39M","1.84%"
"Aug 21, 2018","306.90","308.10","308.50","303.50","758.38K","-0.21%"
"Aug 23, 2018","302.25","307.90","307.90","298.35","953.54K","-1.52%"
"Aug 24, 2018","300.30","301.25","305.85","299.10","1.07M","-0.65%"
"Aug 27, 2018","308.25","303.25","310.30","303.25","1.89M","2.65%"
"Aug 28, 2018","304.95","308.70","310.15","303.60","812.59K","-1.07%"
"Aug 29, 2018","309.65","306.90","312.00","306.00","1.54M","1.54%"
"Aug 30, 2018","308.15","310.00","310.00","306.00","934.91K","-0.48%"
"Aug 31, 2018","308.85","307.30","310.00","304.75","1.33M","0.23%"
"Sep 03, 2018","306.40","312.00","312.20","304.30","1.01M","-0.79%"
"Sep 04, 2018","296.60","307.70","307.70","295.70","1.13M","-3.20%"
"Sep 05, 2018","296.75","296.90","298.90","290.60","1.07M","0.05%"
"Sep 06, 2018","296.65","298.30","300.00","295.10","886.33K","-0.03%"
"Sep 07, 2018","291.85","296.50","296.50","290.00","1.32M","-1.62%"
"Sep 10, 2018","285.00","291.00","293.30","284.00","1.65M","-2.35%"
"Sep 11, 2018","282.30","288.30","291.50","281.20","2.34M","-0.95%"
"Sep 12, 2018","285.45","283.90","286.60","280.15","1.13M","1.12%"
"Sep 14, 2018","290.40","290.00","291.45","288.85","915.88K","1.73%"
"Sep 17, 2018","285.60","289.50","289.50","284.10","1.04M","-1.65%"
"Sep 18, 2018","274.00","285.60","286.90","272.55","1.78M","-4.06%"
"Sep 19, 2018","271.40","276.05","278.00","270.60","1.72M","-0.95%"
"Sep 21, 2018","270.05","274.90","279.35","253.60","3.12M","-0.50%"
"Sep 24, 2018","264.55","272.25","273.00","263.00","2.80M","-2.04%"
