"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","499.70","487.70","504.70","481.70","1.15M","7.11%"
"May 29, 2018","498.50","498.00","509.70","490.70","616.45K","-0.24%"
"May 30, 2018","494.75","498.00","503.20","492.30","247.06K","-0.75%"
"May 31, 2018","480.15","495.00","496.20","475.00","274.20K","-2.95%"
"Jun 01, 2018","482.90","484.95","489.95","479.25","215.56K","0.57%"
"Jun 04, 2018","478.50","486.00","490.50","477.00","1.90M","-0.91%"
"Jun 05, 2018","473.65","477.80","483.05","470.50","168.18K","-1.01%"
"Jun 06, 2018","488.85","475.00","491.80","473.35","261.26K","3.21%"
"Jun 07, 2018","488.50","492.00","493.95","485.80","150.31K","-0.07%"
"Jun 08, 2018","528.20","485.15","532.65","485.15","1.65M","8.13%"
"Jun 11, 2018","535.00","531.90","544.00","526.20","1.17M","1.29%"
"Jun 12, 2018","540.50","535.90","544.50","531.35","507.84K","1.03%"
"Jun 13, 2018","545.65","552.50","560.75","542.35","1.22M","0.95%"
"Jun 14, 2018","559.65","548.40","562.00","542.05","689.92K","2.57%"
"Jun 15, 2018","571.05","563.00","573.30","561.40","808.15K","2.04%"
"Jun 18, 2018","570.85","572.80","578.00","564.25","453.95K","-0.04%"
"Jun 19, 2018","560.10","568.50","576.65","558.25","352.81K","-1.88%"
"Jun 20, 2018","564.00","559.00","565.75","553.20","297.86K","0.70%"
"Jun 21, 2018","554.60","567.40","567.40","552.65","187.09K","-1.67%"
"Jun 22, 2018","576.30","551.00","580.00","548.00","864.77K","3.91%"
"Jun 25, 2018","572.15","578.00","591.30","568.80","778.18K","-0.72%"
"Jun 26, 2018","572.95","572.25","575.75","566.05","331.77K","0.14%"
"Jun 27, 2018","574.95","573.10","588.00","568.50","331.55K","0.35%"
"Jun 28, 2018","565.25","577.95","582.85","563.50","759.26K","-1.69%"
"Jun 29, 2018","560.55","569.25","572.05","560.35","1.38M","-0.83%"
"Jul 02, 2018","563.55","563.00","573.20","559.25","200.70K","0.54%"
"Jul 03, 2018","573.65","563.00","576.75","561.00","310.55K","1.79%"
"Jul 04, 2018","579.05","575.50","588.25","573.70","594.83K","0.94%"
"Jul 05, 2018","565.70","580.00","580.60","563.70","446.22K","-2.31%"
"Jul 06, 2018","558.45","566.15","573.00","555.60","335.67K","-1.28%"
"Jul 09, 2018","569.45","559.10","573.00","559.10","236.52K","1.97%"
"Jul 10, 2018","562.40","569.45","571.55","558.00","596.79K","-1.24%"
"Jul 11, 2018","560.80","566.00","569.70","559.25","189.05K","-0.28%"
"Jul 12, 2018","563.70","561.30","570.70","558.00","229.25K","0.52%"
"Jul 13, 2018","559.15","566.00","566.85","557.50","126.98K","-0.81%"
"Jul 16, 2018","532.95","560.05","562.50","529.95","459.53K","-4.69%"
"Jul 17, 2018","548.80","536.90","551.70","533.25","253.62K","2.97%"
"Jul 18, 2018","549.55","555.00","559.00","544.40","393.99K","0.14%"
"Jul 19, 2018","545.10","560.00","560.00","542.60","130.25K","-0.81%"
"Jul 20, 2018","559.90","547.95","563.00","545.15","224.10K","2.72%"
"Jul 23, 2018","561.40","560.05","567.00","558.20","215.06K","0.27%"
"Jul 24, 2018","562.50","565.00","568.40","560.00","153.70K","0.20%"
"Jul 25, 2018","558.45","565.30","567.00","555.55","159.83K","-0.72%"
