"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","575.60","572.90","579.25","565.20","409.21K","1.48%"
"May 29, 2018","575.25","571.00","587.85","569.20","471.73K","-0.06%"
"May 30, 2018","578.10","569.30","581.45","567.70","459.86K","0.50%"
"May 31, 2018","575.45","582.55","590.00","572.10","370.46K","-0.46%"
"Jun 01, 2018","560.35","570.90","579.20","556.55","480.54K","-2.62%"
"Jun 04, 2018","566.95","564.00","571.95","560.60","533.99K","1.18%"
"Jun 05, 2018","571.95","565.25","574.00","561.00","620.81K","0.88%"
"Jun 06, 2018","579.70","573.50","581.25","569.05","298.04K","1.36%"
"Jun 07, 2018","601.35","581.40","604.80","581.40","636.50K","3.73%"
"Jun 08, 2018","599.50","597.00","607.55","592.60","569.67K","-0.31%"
"Jun 11, 2018","588.75","599.55","605.40","586.25","415.11K","-1.79%"
"Jun 12, 2018","579.80","587.95","588.40","577.55","531.76K","-1.52%"
"Jun 13, 2018","567.50","579.80","584.00","566.20","620.95K","-2.12%"
"Jun 14, 2018","569.40","567.10","574.35","561.75","408.36K","0.33%"
"Jun 15, 2018","565.95","574.00","574.85","562.00","633.90K","-0.61%"
"Jun 18, 2018","558.70","564.00","564.30","547.45","828.09K","-1.28%"
"Jun 19, 2018","554.85","558.00","565.45","550.00","696.67K","-0.69%"
"Jun 20, 2018","563.30","557.50","566.80","553.30","504.13K","1.52%"
"Jun 21, 2018","558.20","569.00","569.00","556.20","556.60K","-0.91%"
"Jun 22, 2018","560.45","560.20","564.45","556.40","1.39M","0.40%"
"Jun 25, 2018","558.50","560.00","564.60","556.00","270.53K","-0.35%"
"Jun 26, 2018","549.35","558.90","560.00","538.35","783.88K","-1.64%"
"Jun 27, 2018","543.25","550.00","552.85","539.25","611.85K","-1.11%"
"Jun 28, 2018","548.05","544.00","556.20","544.00","554.97K","0.88%"
"Jun 29, 2018","567.85","552.00","569.85","551.70","689.75K","3.61%"
"Jul 02, 2018","560.95","575.20","586.50","556.25","987.80K","-1.22%"
"Jul 03, 2018","566.50","561.05","572.35","554.00","662.18K","0.99%"
"Jul 04, 2018","568.90","567.00","572.95","560.10","986.80K","0.42%"
"Jul 05, 2018","553.50","565.00","565.00","551.75","542.95K","-2.71%"
"Jul 06, 2018","554.15","557.40","564.00","547.05","436.98K","0.12%"
"Jul 09, 2018","556.85","564.25","565.80","555.70","423.20K","0.49%"
"Jul 10, 2018","568.60","558.05","570.80","557.30","719.49K","2.11%"
"Jul 11, 2018","555.85","566.40","566.40","554.40","404.77K","-2.24%"
"Jul 12, 2018","556.30","559.15","567.95","554.35","555.85K","0.08%"
"Jul 13, 2018","558.15","559.50","561.85","553.05","470.25K","0.33%"
"Jul 16, 2018","519.30","558.30","559.35","516.25","1.13M","-6.96%"
"Jul 17, 2018","532.50","521.70","535.65","512.55","680.87K","2.54%"
"Jul 18, 2018","504.70","537.70","537.70","501.15","1.21M","-5.22%"
"Jul 19, 2018","499.75","509.15","513.25","493.50","1.56M","-0.98%"
"Jul 20, 2018","503.45","499.30","505.85","495.45","504.51K","0.74%"
"Jul 23, 2018","516.85","505.25","519.45","498.70","526.36K","2.66%"
"Jul 24, 2018","526.70","517.40","529.00","517.30","507.30K","1.91%"
"Jul 25, 2018","534.55","529.75","536.40","529.20","452.18K","1.49%"
"Jul 26, 2018","534.95","536.00","539.90","531.50","296.78K","0.07%"
"Jul 27, 2018","549.45","535.20","553.60","535.20","569.23K","2.71%"
"Jul 30, 2018","552.60","551.00","558.30","548.00","326.39K","0.57%"
"Jul 31, 2018","562.85","553.90","564.50","543.40","493.36K","1.85%"
"Aug 01, 2018","554.65","565.00","567.50","551.30","403.51K","-1.46%"
"Aug 02, 2018","554.50","553.90","561.15","540.55","696.21K","-0.03%"
"Aug 03, 2018","555.10","556.80","560.25","551.25","504.49K","0.11%"
"Aug 06, 2018","553.40","559.50","564.55","551.00","351.22K","-0.31%"
"Aug 07, 2018","573.40","554.40","577.00","553.90","791.16K","3.61%"
"Aug 08, 2018","577.65","578.00","583.00","574.10","702.93K","0.74%"
"Aug 09, 2018","585.10","580.00","587.00","576.25","435.82K","1.29%"
"Aug 10, 2018","575.55","586.00","586.50","573.15","366.27K","-1.63%"
"Aug 13, 2018","569.20","574.95","581.90","566.45","540.44K","-1.10%"
"Aug 14, 2018","578.90","584.00","587.00","562.45","2.06M","1.70%"
"Aug 16, 2018","568.10","570.00","576.80","564.00","502.45K","-1.87%"
