"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","82.30","81.40","82.90","80.70","183.11K","1.42%"
"May 29, 2018","82.95","82.70","83.80","81.50","3.00M","0.79%"
"May 30, 2018","82.20","82.45","83.90","81.50","203.82K","-0.90%"
"May 31, 2018","81.20","83.50","83.50","80.60","267.26K","-1.22%"
"Jun 01, 2018","79.60","80.95","81.10","78.35","156.86K","-1.97%"
"Jun 04, 2018","77.15","79.70","80.00","76.65","156.57K","-3.08%"
"Jun 05, 2018","78.70","77.00","79.10","76.30","205.81K","2.01%"
"Jun 06, 2018","78.00","78.05","79.65","76.05","778.57K","-0.89%"
"Jun 07, 2018","78.50","79.50","79.90","78.20","624.72K","0.64%"
"Jun 08, 2018","77.95","78.00","78.95","77.60","125.68K","-0.70%"
"Jun 11, 2018","78.50","77.95","80.30","77.95","449.69K","0.71%"
"Jun 12, 2018","77.85","79.40","79.40","77.75","230.35K","-0.83%"
"Jun 13, 2018","77.00","78.40","78.40","76.80","274.44K","-1.09%"
"Jun 14, 2018","77.30","77.95","77.95","76.40","197.48K","0.39%"
"Jun 15, 2018","76.15","77.50","77.75","75.95","210.07K","-1.49%"
"Jun 18, 2018","75.20","76.95","76.95","75.10","163.15K","-1.25%"
"Jun 19, 2018","73.50","75.00","75.00","73.10","304.33K","-2.26%"
"Jun 20, 2018","73.90","73.50","74.40","72.90","175.44K","0.54%"
"Jun 21, 2018","74.55","74.55","75.15","74.00","232.30K","0.88%"
"Jun 22, 2018","76.10","74.10","76.35","74.10","183.48K","2.08%"
"Jun 25, 2018","76.35","76.70","77.25","76.00","254.54K","0.33%"
"Jun 26, 2018","75.00","76.25","76.40","74.80","127.43K","-1.77%"
"Jun 27, 2018","72.00","74.10","75.05","71.50","290.94K","-4.00%"
"Jun 28, 2018","71.60","71.05","74.80","71.00","685.17K","-0.56%"
"Jun 29, 2018","73.05","71.60","73.30","71.60","165.59K","2.03%"
"Jul 02, 2018","72.00","73.15","73.80","71.90","635.16K","-1.44%"
"Jul 03, 2018","72.05","72.20","73.00","71.80","748.18K","0.07%"
"Jul 04, 2018","72.00","72.10","73.00","71.65","287.84K","-0.07%"
"Jul 05, 2018","71.20","71.60","72.15","71.10","147.79K","-1.11%"
"Jul 06, 2018","71.70","71.05","72.25","71.05","102.54K","0.70%"
"Jul 09, 2018","73.20","71.60","74.00","71.60","1.30M","2.09%"
