"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2018","197.51","198.26","198.56","196.99","67.63K","-0.60%"
"May 29, 2018","197.21","196.88","198.41","196.84","69.29K","-0.15%"
"May 30, 2018","195.56","197.25","197.44","193.99","105.00K","-0.84%"
"May 31, 2018","196.43","195.64","198.30","193.88","58.01K","0.44%"
"Jun 01, 2018","195.34","198.00","198.38","194.44","61.90K","-0.55%"
"Jun 04, 2018","195.00","198.71","198.71","193.54","82.57K","-0.17%"
"Jun 05, 2018","191.55","197.25","197.25","190.57","102.78K","-1.77%"
"Jun 06, 2018","194.55","192.64","195.26","190.12","65.16K","1.57%"
"Jun 07, 2018","198.41","194.21","199.50","194.21","76.28K","1.98%"
"Jun 08, 2018","197.85","196.20","198.71","196.20","52.47K","-0.28%"
"Jun 11, 2018","198.19","200.25","200.25","197.25","82.31K","0.17%"
"Jun 12, 2018","199.76","199.65","201.97","198.97","87.62K","0.79%"
"Jun 13, 2018","201.71","202.50","202.50","200.32","73.14K","0.98%"
"Jun 14, 2018","200.06","201.75","201.75","198.75","173.71K","-0.82%"
"Jun 15, 2018","200.14","202.50","204.00","198.79","351.34K","0.04%"
"Jun 18, 2018","199.20","201.53","202.43","198.04","63.90K","-0.47%"
"Jun 19, 2018","196.24","199.28","199.28","195.41","77.33K","-1.49%"
"Jun 20, 2018","194.85","196.24","196.65","193.80","69.55K","-0.71%"
"Jun 21, 2018","194.25","197.10","197.10","192.97","683.42K","-0.31%"
"Jun 22, 2018","193.46","192.04","194.47","191.55","248.13K","-0.41%"
"Jun 25, 2018","193.09","194.18","195.94","192.19","60.14K","-0.19%"
"Jun 26, 2018","192.94","193.12","195.00","191.59","135.25K","-0.08%"
"Jun 27, 2018","191.89","194.93","194.93","190.50","1.66M","-0.54%"
"Jun 28, 2018","192.75","192.00","194.14","191.93","2.54M","0.45%"
"Jun 29, 2018","196.05","194.55","196.76","191.44","614.66K","1.71%"
"Jul 02, 2018","195.71","200.47","200.47","193.65","63.19K","-0.17%"
"Jul 03, 2018","196.31","194.36","197.18","194.10","131.22K","0.31%"
"Jul 04, 2018","197.06","196.99","197.85","193.88","178.88K","0.38%"
"Jul 05, 2018","198.75","196.50","198.97","195.38","721.19K","0.86%"
"Jul 06, 2018","197.25","196.69","198.75","196.12","104.98K","-0.75%"
"Jul 09, 2018","198.82","197.25","199.16","196.80","45.25K","0.80%"
"Jul 10, 2018","203.32","201.00","205.35","198.00","146.01K","2.26%"
"Jul 11, 2018","204.64","204.75","206.25","202.09","392.53K","0.65%"
"Jul 12, 2018","209.62","205.46","211.05","202.54","177.93K","2.43%"
"Jul 13, 2018","210.53","209.59","217.24","208.99","549.24K","0.43%"
"Jul 16, 2018","212.32","209.25","215.10","208.50","339.57K","0.85%"
"Jul 17, 2018","213.11","212.25","216.56","211.50","294.25K","0.37%"
"Jul 18, 2018","213.07","215.18","215.59","212.78","1.38M","-0.02%"
"Jul 19, 2018","213.94","214.50","216.60","211.24","181.70K","0.41%"
"Jul 20, 2018","212.29","214.88","217.76","210.79","320.69K","-0.77%"
"Jul 23, 2018","207.04","216.00","216.00","197.93","562.38K","-2.47%"
"Jul 24, 2018","205.01","209.55","209.55","201.97","884.43K","-0.98%"
"Jul 25, 2018","205.99","205.09","207.45","204.75","110.93K","0.48%"
"Jul 26, 2018","204.41","206.85","206.85","202.91","337.11K","-0.77%"
"Jul 27, 2018","205.88","204.56","206.40","204.22","101.33K","0.72%"
"Jul 30, 2018","205.09","205.84","205.84","201.97","628.36K","-0.38%"
"Jul 31, 2018","207.60","205.12","208.01","203.51","485.74K","1.22%"
"Aug 01, 2018","207.71","208.43","208.50","205.35","131.48K","0.05%"
"Aug 02, 2018","209.29","208.39","210.07","205.91","385.27K","0.76%"
"Aug 03, 2018","208.61","209.47","210.41","207.86","296.72K","-0.32%"
"Aug 06, 2018","207.53","208.88","211.50","206.40","241.44K","-0.52%"
"Aug 07, 2018","207.97","207.53","209.25","206.74","292.08K","0.21%"
"Aug 08, 2018","208.69","208.50","209.25","205.76","384.63K","0.35%"
"Aug 09, 2018","209.18","207.68","210.45","206.70","441.59K","0.23%"
"Aug 10, 2018","209.29","209.25","209.70","207.11","364.05K","0.05%"
"Aug 13, 2018","212.03","210.75","213.41","207.07","480.73K","1.31%"
"Aug 14, 2018","213.30","213.00","215.10","211.35","205.58K","0.60%"
"Aug 16, 2018","209.89","214.39","214.39","208.50","609.34K","-1.60%"
"Aug 17, 2018","209.70","211.72","211.72","208.50","129.53K","-0.09%"
"Aug 20, 2018","213.22","210.00","214.72","210.00","172.49K","1.68%"
"Aug 21, 2018","216.38","215.96","220.80","213.45","372.07K","1.48%"
"Aug 23, 2018","217.12","216.75","219.68","216.34","448.09K","0.34%"
"Aug 24, 2018","219.22","218.18","221.10","215.25","1.17M","0.97%"
"Aug 27, 2018","222.38","219.68","223.05","218.06","1.08M","1.44%"
"Aug 28, 2018","221.93","224.25","224.25","220.76","267.74K","-0.20%"
