Date,SBI_Historical_Data Price,LUPN_Historical_Data Price,CIPL_Historical_Data Price,KTKM_Historical_Data Price,LART_Historical_Data Price,TISC_Historical_Data Price,HDFC_Historical_Data Price,WIPR_Historical_Data Price,BOSH_Historical_Data Price,JSTL_Historical_Data Price,SUN_Historical_Data Price,BHEL_Historical_Data Price,HDFC Historical Data Price,INFY_Historical_Data Price,TTPW_Historical_Data Price
"May 05, 1995",16.23,3.32,14.67,9.79,41.07,108.03,21.50,1.11,580.0,30.32,1.64,7.0,20.0,0.95,10.86
"May 08, 1995",16.23,3.32,14.67,9.57,41.07,108.03,22.00,1.1,585.0,30.94,1.64,7.33,19.75,0.89,11.0
"May 09, 1995",16.23,3.47,14.4,9.79,40.91,108.16,22.40,1.07,590.0,30.94,1.69,7.83,20.25,0.91,10.95
"May 10, 1995",16.13,3.55,14.13,9.79,40.29,106.31,23.00,1.07,590.0,30.69,1.76,8.0,20.5,0.89,10.9
"May 12, 1995",16.13,3.47,13.6,9.34,40.29,106.84,23.10,1.08,590.0,30.19,1.75,7.83,19.75,0.89,10.86
"May 15, 1995",16.13,3.46,13.33,9.34,39.67,104.45,24.00,1.17,590.0,29.45,1.71,8.08,20.25,0.87,10.81
"May 16, 1995",16.23,3.39,13.33,9.34,39.59,106.04,23.75,1.17,590.0,29.7,1.69,8.0,20.4,0.87,10.81
"May 17, 1995",16.28,3.39,13.33,9.34,40.6,108.43,23.75,1.19,591.0,30.44,1.73,8.07,21.2,0.96,10.81
"May 18, 1995",16.79,3.39,13.6,9.34,40.68,111.88,23.25,1.22,592.0,30.94,1.75,8.2,22.0,0.99,11.1
"May 19, 1995",16.89,3.46,13.6,9.34,41.3,113.47,22.50,1.23,597.0,31.43,1.78,8.33,22.4,0.99,11.48
"May 22, 1995",16.51,3.58,13.33,9.57,40.99,109.75,22.00,1.41,593.0,32.17,1.75,8.33,21.85,0.97,11.58
"May 23, 1995",16.56,3.58,13.47,9.34,40.6,108.96,22.25,1.39,587.0,31.68,1.74,8.27,21.95,1.0,11.29
"May 24, 1995",16.46,3.58,13.53,9.34,40.91,104.98,22.50,1.35,590.0,31.68,1.75,8.07,21.8,0.99,11.39
"May 25, 1995",16.42,3.55,13.2,8.68,39.83,104.45,22.75,1.26,590.0,31.93,1.75,8.07,21.7,0.98,11.39
"May 26, 1995",16.46,3.58,13.07,9.34,40.52,108.69,23.00,1.24,590.0,32.42,1.78,8.0,21.6,0.98,11.39
"May 29, 1995",16.61,3.55,13.33,9.12,40.91,111.35,23.00,1.19,590.0,33.41,1.76,7.87,20.8,0.98,11.48
"May 30, 1995",16.7,3.46,13.2,9.12,40.76,115.85,23.00,1.2,590.0,34.9,1.81,7.8,20.6,0.98,11.58
"May 31, 1995",17.88,3.58,13.07,9.12,41.53,119.56,22.75,1.21,591.0,36.13,1.81,8.07,21.6,0.97,12.06
"Jun 01, 1995",18.49,3.58,13.15,9.12,42.0,124.07,22.50,1.23,592.0,36.38,1.79,7.93,22.2,0.99,12.55
"Jun 02, 1995",18.59,3.64,12.93,9.12,41.07,120.36,22.00,1.19,590.0,34.9,1.83,7.93,22.75,1.04,12.74
"Jun 05, 1995",18.87,3.58,12.99,9.12,41.45,120.09,22.00,1.19,590.0,33.91,1.85,7.8,22.4,1.01,13.03
"Jun 06, 1995",19.15,3.58,13.07,9.08,42.0,124.34,22.00,1.2,591.0,32.92,1.85,7.87,22.55,1.0,12.83
"Jun 07, 1995",19.01,3.58,12.93,9.08,41.84,121.95,21.85,1.22,593.0,32.42,1.84,7.93,22.65,0.99,12.64
"Jun 08, 1995",18.92,3.52,12.64,8.99,41.38,120.62,21.90,1.22,590.0,31.68,1.84,7.87,22.6,0.98,12.64
"Jun 09, 1995",18.73,3.58,12.51,8.99,41.07,121.68,21.50,1.22,590.0,31.43,1.83,7.8,22.75,0.96,12.64
"Jun 12, 1995",18.63,3.33,12.05,8.81,40.76,123.81,21.00,1.22,590.0,27.22,1.83,7.93,23.35,0.99,12.45
"Jun 13, 1995",18.4,3.39,11.84,8.72,40.68,128.05,19.75,1.2,590.0,32.67,1.8,7.87,23.55,0.98,12.45
"Jun 14, 1995",18.59,3.09,11.68,8.45,41.84,124.34,19.50,1.19,590.0,32.17,1.83,7.8,24.05,0.99,13.03
"Jun 15, 1995",18.35,3.15,10.8,8.36,41.61,124.6,19.50,1.17,590.0,32.42,1.83,7.73,24.0,0.99,12.83
"Jun 16, 1995",18.59,3.33,11.31,8.36,41.92,125.4,19.50,1.14,591.0,32.67,1.87,7.87,24.5,0.98,12.93
"Jun 19, 1995",18.59,3.21,11.81,8.32,41.84,125.4,20.00,1.11,593.0,32.42,1.85,7.73,24.3,0.98,13.22
